00000000010000001011000000000000,0000101000010000000000000101000,000000001011000000100110000000,00000000010010101000001000000,1000000010000000000000010110,000001000000010001001010000,00001000000001000000001010,1011000010000000000000001,000100000010100000000100,10100000000000010100010,1000000100000000100000,000000000000000000000,00000010000000000010,0000100000000000000,001000000100100101,00110010010000001,0000000101001000,000001000001100,00001000000000,0000001000000,100000000010,11000000000,0000011001,000000000,00000010,0000000,100000,00000,1000,000,00,0,
00000000000000000011000000010001,0100010100000000000000000000011,000000000110000000100000010000,00000000010001000000010000010,0000000000111000000000000100,000000100001000010100000001,10000000000001110000000100,0000001000010100000000000,000001000000000100011000,00000000000000000001001,1000000000100011000001,001100000001000100001,00000100100100000010,0010000001010001000,001010000000100000,00001001100000000,0010000000001100,000010000000000,00001001000110,0000001000000,010000000010,00000000000,0001001000,000000000,10000000,1000000,000000,00010,0001,000,01,0,
00001000010010000001000100001000,0010001001000000000000010110000,000000001010100100001000000001,00001100100110010000000001000,0000100000000000001000100010,000001000011000010100000110,00010100000100010000100000,1010000000000000001000010,000000000000000000001001,00100000001000000000100,0000100001000010000000,000100000000000010000,01000000010001000000,0000110100000000000,001000000010000001,00000000000000000,0100000000000000,000000000100001,00000000100000,0000010000010,000000010001,00001010100,0000000010,101000001,01000000,0000100,010000,00000,0000,000,00,0,
00001000000011000000100000010010,1000010000000000000000000010100,010000000000000000010000001000,00001000000110000000100000000,0100100001000000000010000000,001000000000100000010010000,00100000000000000100010000,0000100010000000011000010,000000000000000010000001,00010100100000001000000,0000001101000000000001,000100010000010001000,10000000000000001001,0100000100000000000,010000001000000001,10011000000000000,0000000000100000,010000100000111,00000001100000,0001000000100,010000010000,10000100000,1100101000,001000000,00000010,0000000,000010,00100,0100,001,00,0,
00000100001010001001010000000000,0000000000000100001000001000001,001000000010000000100100000001,00000010000010101100000001000,0011000000100000000100001000,000000010010000000000000100,00000100001000000000001001,0000100010000001000000010,100001000001000000000000,00000000010000000100001,0000000010000100000000,001010000000100000000,00010000000001100000,0000001000010100000,010000000010010000,01000100010000100,0000000000000000,000000000000100,01001000000100,0000100110110,000001000010,10000010000,1000010000,000000101,01000000,0100000,000000,00000,0010,001,00,0,
00000010000000001000001000100000,1001000000000000011000000000000,100000000000000010000010101000,00000100000101000000000000000,0000000001011101000001000000,000000000000001000000010010,00001000110010100000000000,0100000000000000000000110,001000000000000001100011,11010000001000000000100,0000010000000100100000,010000110000000000000,00000100000100010000,1000000001000001000,000000000000110000,00000100100000010,1000000000000001,000011000000000,00000110000000,0010000000000,000001000000,00001010100,0000000100,100001000,00000010,0001101,001000,10000,0100,000,01,0,
00010000100011010000000000000000,1000000010000000000100001000000,000000000001001000110000010000,01001000000000001010100100000,0100110000000100000010000000,010000000000000000111000000,00000000000000010000000001,0010001000010001000000000,001000100000100000100000,01000001001000000000000,0000000000001000100000,000001000001001000000,00001000000100001001,0010000010001000100,100000000000010000,00000000010000001,0000100100000010,000000000000010,10100010000100,1100000000001,000000001000,00000000000,1000000001,000001000,00000000,1001010,000000,10110,1100,000,00,0,
00000001100100000000000101000000,0001110101000000000000010000000,010000110000000000001000000001,00010000000001010000000010000,0000000000010000001110000000,000000000000000100100000000,00100000010010000000000000,0000001000000010001000100,001000000011010100000001,00000001000000000000010,1000000000100000010100,000000100000010000000,00000000001000100000,0000010100011100000,000100001001000000,00010001000001100,0000110000001000,101000000011010,00001000000000,0001000000000,010000000000,00001001000,0000000100,000000000,00010000,0100000,000000,00111,0000,001,10,0,
10000000010010000001000100000000,0000100000100110000000000000000,001000000000100100010000000001,00100001000000011000000000101,0000100010000000100000000001,000001010001000000000100000,01100000001000000000001000,0010100000100000000001100,000001001000010000000000,00000000100000000100010,0000000000000001100001,000000000001000100100,00010010110000000000,1000010000000010000,010000000000000110,00100001000000000,0000000000000011,000000101000000,01000000010010,0000000010000,100100000000,11001000000,0010000000,001001000,10000000,0111000,010000,00000,0000,000,00,0,
01000100100000000010000000000000,1000000010000100000000100100000,000000100000000000001000100000,00100001000011001000100000000,0010100000000000000010010000,000000100000010011000001000,00000000000100000001010011,0000000001000000000101010,110011000100000000001000,00010000000000010000000,0101100000000000010000,010000000010000000000,00000000000000000110,0000000010000000010,001000101000000001,10000010010000000,1010000010000000,000000000000000,00000000001100,0000000001000,100100000100,10001100100,0001000000,000000001,00001000,0000101,010000,00010,0000,000,00,1,
