111100011001001101001010,110101101010100011111000,010000110011000101111101,100110110100000011101111,011110100111010001010010,011010001101100010101110,110010010110011110110010,101011100111000111001000,001101011110011011100100,001101100001011110111011,101110000011101000110001,011110101010001110000101,100101101111000100110110,111001000100100111010111,010101110110101000001011,111111110000110100100100,000111011011110111000011,000110001100111101011100,100000100011111011000110,110011101101011001100001,001011111000101101110010,101011011010010000011111,010111010001001010010100,101000111101110010010001
011101011010101000011000,111111000001100110110100,100011000110111101011100,010011101110010010110101,110001111001000101001101,111000011110010111100000,110100001101010001010110,100110101011001111010001,010100100010101111100110,100110011100100011101101,101011110100001001110010,111111100010110001000011,111000100101101010001101,100001001111101100100011,001110111111100100000100,011010000111000101111011,001010011000111111010111,010111010101011110001010,101110101000011100101110,110100110100111100110001,001101101101110111111000,001101010011011001100101,101101010110000110011111,100000110011110010111010
100010110001010001111101,000110001101010110101001,110010000001101111001110,100001000100111100111100,010101110101101101100001,101000110111110010001010,101100000011011101110010,100111011001101010010000,000011010110011111010111,001001001011101001101101,111101010000010111001001,011000101001110111010100,111001000101000010110111,100100101100100001011111,110100011010110110100111,110000011110001011111000,011110010111100100011100,010111100010110011111010,001101111000001110101110,101011011100100101100010,101010100010101110110001,011010011000111000011011,110001101011000100011011,111111101110011000000100
000010111110111001011010,101011100010001001111101,100111011000010010111110,010010110001111010100111,010101011011001001110011,001001110101010100101011,110111100111110000000000,011011101100100101100110,000101100101100011011101,010110000010010101001111,111110010101001100011100,000111010110101110100001,001000001111011011101100,001110101011000110010011,100100101011101100101110,111100111000100011001001,100010001001110101110001,011001000000111110011000,101101001100111000000111,111000000110100010111011,001100110010110000110100,100100100100011111110010,101001010011100111000110,110001111110010110010101
010011011100101110100001,011011110010101000111101,001110110000010110101111,011100001110100101101110,101011000110011101011011,101101101000001100110101,110111011100000010011110,111110001011011000101000,101110010111100010110001,011101010001001001000011,000110001101111000110111,100100011010111011001101,110100110010111100010010,111010100001101111000110,110001100111010010100111,101011111000110001100010,001001011011110110010110,000111101011100100001011,000111110111010101000100,110010011011000101110111,010101000001110111111000,000000111111001011111010,111000111101110100011001,011110101010010011010001
000011101101011011111000,100001110111010100001001,100111011110101100011000,001011010001110010011110,011101111001011100010100,111111001010011010001001,111001101100100001101100,110010011011010001110010,101100011101111011000101,100110100100011101001110,010011111100001110100111,011110110110000011010000,001000111010001001011111,110100101001100110011011,101111100101001000110011,110001000111001111010110,101010100010111110110100,010100000110111000111101,011010010001101101101001,100101010000000111111101,001100001111000110101110,000101110010111011100010,001001001100110101010011,000111101011100001000101
010111000001011111010010,111110111001100000000010,111000001100101110110011,011111101100011000100101,010100101111110101000110,100110101011000110010101,100110100100110001011011,010110010010101011100101,001101010111110010110001,000010111101101100111000,101011110110111111000000,110001110011011000110011,001011000011101100001111,101100010101001101110101,011100110110001010011110,101100001011011011101010,110111000110000100101000,011010011010010101011001,110001011101001011001001,111001100001100011111100,100011011110000001110110,110010010101010110101110,100101011000111100011100,000101111000000111101011
010101100101111011000011,101111110000110000010001,111001001010110101011010,010100010100011111111001,100101100101010101110100,001011101000011010101110,001110001111111100100000,111010010100101001100110,110011001101001000011101,101101010111000010101011,001000111101110001001101,111100111011001011010000,010011111001000101100011,100010100010101111001101,010100101010100000111111,001010100101100110111010,011101010001100110001100,100000011001111110110111,001001110110001100010111,000110010011011001011110,011010000011010011110101,001110001100000111010111,110010111110010110000110,000011011110100011110000
100110101101000110001110,110010101011101001100001,111001111100001001011000,111100110001110000110110,011011100111011100101010,000000001111101000111111,100111110010011000011011,100010010110000111110010,001001111011000101000111,111101001110001010100111,011110011110110100001001,000101110101101110100001,010011011000101100010110,101010000100111101000111,100101001010110101101100,010011110100110011101111,001111001101110011010010,001010101000011110110100,101011010011101010001100,110001100111110110010101,110000011001011111001011,011100100010101111011010,011111000001000101111101,010110010111011001000100
001010011011111011010101,011101000101110101000100,010001111011000110001111,000001101010111111111000,001101100011101000101111,011110000000001111101011,100100110001011111100110,000111110110011100000011,010011000101011010011110,100000011100101101011111,000111011101000001101001,111010101110010001101100,111011011001111100100010,101111010010000110111100,110110110011100001011010,101101001111001011000010,101001110000110011001011,011100111100100010110010,111001110101001001110001,110101001010010001110111,101100101001010100011001,110100010111111010101001,110111101000101010000101,100010100111100110110011
011000101101111010110001,010100101110100001011011,100100110101101110011100,000011010100101001111001,001101111100010100111010,111110010000100110100011,110101000001011111110010,001111010011111000010111,010111111001010011001001,111010110010011011011010,011001010111000011100110,101110001101110001101110,101000011001001101001011,111011000111010100011001,011110100000001101110101,100100110110011001100001,101101001010000010111101,100011111011100101110000,001111001110101111000000,101001100000110111001111,000010100011001110101011,010000011010111100101100,110011101100001000000110,000010011100010111010111
011000000110111010110101,100111100110100110110000,001101111110011101010010,000100111001010110111111,110101010101111100010011,101111001000110011000101,111011110111010000100110,011110110100101100001100,100010010100011011011000,110110111010001001110101,110100101100110001101010,101010101101101000010011,101001110000101011101011,011110000001001111100010,000010011110100101100111,101001001101001101111100,110011001010101110011110,000111011011111000101000,101100010011100001011110,100000100011111111000100,011011100011110101011001,111100011111000110001001,010001111101100011010100,000111100111001011001111
101100101010101101010011,100000011111010110011001,100111001010011011101000,000110111100110110110010,101010000101100110100111,111001010010110011010010,110011101111000001110010,010000111001101011101011,110000001100111000110101,011101101111100010011100,111100100001010100101000,100111111001110000000111,100001110110100101101100,001001111001011111110100,010111010011101100110001,101101010100001000111011,011011001100110101001001,000110000101111101011110,111010011010001100001110,010001100110011110000111,011100011111010001100111,110110110100000011010101,001010100010010000111111,101010110111111000000000
110001100011001001110110,110000011101101010110101,111010101110010010111010,101011011100010001010111,110100010101011001001011,011101011010001010001110,000110001011010011100111,111100111010010100100101,001101010111110010110000,001000100000111110011111,100011111001011110100010,000001111110100000101011,110111010010100110010011,010111101001110000011100,010011000110011100101101,011001101101000111000001,101101001001000100111111,001010011011001101011001,101111100000101011101001,100001001010110111001100,011010010001100101101110,101110101111101100000110,000110110100000111111100,010100001100111101110010
111100010001001110110100,111001001101101011000010,101110001101010100011110,000111100101101110100111,100100000010011111101011,000100111110001010011010,001101010001111001011101,110000111001110110011011,011110001010111000110011,101000110100111100101000,110111011000110010001100,000001011100110111110110,011001110011010000101110,011101101100010101000001,110010110100011001010111,110001000110101100011101,010110100111110011111000,101011010111010010010001,011010010100100111001111,101111110010100101010010,100100011111100001100101,010011011001001101101000,101011101000000011111101,001010101011111111000100
