101111110110000,010011010011001,111110011000011,000101101010011,011001110000110,100001011101101,100111100001110,010111001100100,001100011011100,111001001111010,001010000110111,011100100101001,000010111101010,110010101010101,110100010110110
110100011110010,000101010011111,010010110101110,111101010100101,001110111000011,100110110010100,010111100110001,110011111001001,100011001100110,001001111110100,100100101101101,111000100010111,101010010111001,101101100001010,011110001011100
000001100101111,110010110001001,100111101001100,010011111110100,100100111010111,101000011101100,011100101111001,111001100011010,111101000100101,110110000111110,100011001110011,001110110100010,001111010011101,011010001000111,010101011001010
011100110110011,100100101010101,000011100011011,110000011111011,111111011010000,110010110000110,010101111001000,011010111001101,001001111110110,010111001100111,100011110100001,101110101101010,111001100111100,000110010111100,101101010001111
110100101101100,000101010101111,010001111110001,001111101001001,101010110100101,100011100111010,011110010111000,101000001011111,110110000000011,011000110001010,110011011001100,111101100010100,010010100011101,011011001100110,000110111010110
001111101000001,111110000110000,110111000101101,011001010010101,110011101010110,010100001011011,000011011111000,011001100101010,101000101111101,110010110001001,000110110110111,010100111100100,100101110011000,100001011100011,101110011001110
001110101111010,101000110101100,000111010001110,010000011111111,111100011000010,011001100010110,010101101100100,011011000101001,100011001100110,001010111000101,100101110110011,110011111011000,101101001011101,111110010110100,110110100001111
101110100101000,001010010110110,010110010001011,010010001101101,111100011000100,110100100110111,011101001111010,111011000000011,011001110100001,001101000011101,101000111011011,110011110011100,100111011110001,100001010101110,000111101000110
011011011010000,011000110001101,110010101000110,101001000010111,010101101110101,001111001001100,000101110011010,111100011100011,110110000011001,100000011111100,111001100101000,010011010101111,001010101111011,100011111000001,101110110110100
001100100011100,110101110000110,100011001011110,111110101100000,100110100110101,101001111010001,001111001000101,011011100010011,011100011110111,101101000101011,010111010111000,111010010001101,010001101101101,001011110100110,000110111001011
101101010100010,110110000100101,011010000011011,101000001111100,100111001011000,010011011101110,111010111000000,011101011010101,100011100010110,100100111001111,001011101100001,001110110111100,010100101110010,011101100001100,110001110111001
111111011010000,101010100011010,111010010100111,001100011111110,111101100001101,100011101100100,001011011001011,100100111000011,110001001001110,100001010111001,110110001101001,010111110101010,011001101110011,010010111011101,000111000010111
010101011000011,111001100110001,100100110110010,110110010010101,011101010101100,000111101110100,110000001111110,000001110011111,001100000110111,011010111000110,010110100101011,100011010100111,101111000011010,001010011111001,101100101001101
100110010110111,000101111010010,001010011111000,100001111101101,111001010011110,010100100111100,001100001001111,111111001100110,101110110001000,001011100010101,101101000111001,010111010001001,011000110100011,110010101011011,111100011010101
001001111011110,100001001101101,100100001110010,110011110110100,000111111100011,111100111101000,001110010111101,011010001100110,011001100111011,101010101010001,011111001011000,111101010000111,110010011011011,100110100001110,010100101010101
110100010011011,011101100111000,001000101011111,101111100000011,010011110010101,111000110100110,000010000111110,101110011010100,110011101001100,000110111101001,011011011001010,010101001100111,000101110001110,101001010101101,100001111110010
111010001001011,001111100010011,100000111110001,010110110101010,111110000110100,111101110001101,100100101001110,000110011000101,101101011100010,001011101101100,010101001011000,001100010111111,100011010011110,011000111010110,010001000100111
000011110000110,011101010100011,111110100100100,001000101101010,111011101010011,100101001110110,001110011010000,001011000111101,010111101111000,010000111110101,100100110011001,110010010111010,111001011001100,010110001001111,100011011100001
010111100001001,011001001100011,100011010000111,111010110100000,101001101001100,100100011101001,100011100111010,110101000110100,000110101100110,001010000111101,001111011010000,101100100010011,001101010101110,010000111011110,111110001001010
111011100000011,111100000011101,110001001111010,101101011000110,001111001101001,010011010101100,001000110101011,101010101110100,000101100110111,100110000101111,100111110011000,000010011010111,110100111100001,011110010110010,010110101001110
111011100000011,111100000011101,110001001111010,101101011000110,001111001101001,010011010100100,001000110101111,101010101110100,000101100110111,100110000101111,100111110011000,000010011010111,110100111100001,011110010110010,010110101001110
100001100111110,111100000111001,111010110001100,001100110100111,110110101010101,011111000010110,111001101000011,110100011001110,001010001011111,001101111011000,100111010001011,110010011110010,010001011101101,101111001100100,010110101101010
100001100111110,111100000111001,111010110001100,001100110100111,110110111010101,011111000010110,111001101000011,110100011001110,001010001011111,001101111011000,100111010001011,111010011110010,010001011101101,101111001100100,010110101101010
111001000011011,001001101100111,111010101001100,010010110101011,010100001111101,011001110010100,110111100010111,111100111110010,100001111011001,001111100111000,011111011000001,000011011011110,001100110001111,101010010110101,110101010101100
000110110001011,000010001111101,111110001001110,101000110110111,100001101101010,100111111010100,110011010111010,011001100011001,001101010101100,010001011000111,001111001110011,011010111100000,110111100100101,010100100110110,110100011111001
110101100010100,110100000101011,001111100100011,100010010110111,000101011101100,101110001011110,101000101111101,010011001011001,111110011000101,100011111001000,010010101100110,111001011110010,011001110001111,000100111010011,011110110111000
000101011101110,100011101110100,110010011101001,100111100001011,111101111001000,110110010010110,001110111000101,010001111010011,111000100100111,010110101100010,011111010100001,010100100111101,001010110111010,101100001110011,011011001011110
000001100101111,110010110001001,100111101000100,010001111110100,100100111010111,101000011101100,001110101111001,111001100011010,111101000100001,110110000111110,100011011110011,001110110100010,001111010011101,011010001000111,010101011001010
111001100001101,001011001110100,100101111111000,010100001101101,111000011011110,011101011010001,001000110100111,101110000111011,001110101001010,010101100010110,000010110011101,100111011000111,111110110100100,010011010101010,110010101110011
100011010101100,100110111010010,011010010011110,011101011110000,110001001010111,001101100111110,010111101001100,111000101101010,001110001100111,001101011001011,101011101010001,010011110100011,110110000111001,111111000000010,111100110000101
110010100110111,101000101011010,100100111000111,010010011011110,001011110010011,011101100001110,000101001111011,001010101101101,111100010011001,100001110111100,101110010101010,101111001010100,011100111110000,111001011100011,110111101001000
111011000111010,000011110100011,100101101011011,101010011001001,010110000001111,011100111101010,110001101100101,100101010101100,010111011010000,101110100110001,011001110011101,001000011110111,000010101111100,110010110010110,001111101000110
