01110101001011000101,11110010011110010010,11000110101110101001,10110101010100100111,00011111010010011001,11100011000001111011,01010011111000101110,10011011101101001001,10011000001010111111,00101011100110110100,11011101001000110000,11001110010101001100,11001001110010000011,10010110100011010110,00101110111001100011,01111100100100011010,01010000110101110101,10100101111000011101,00000101011111111010,10110000110011101000
00110011010101110110,00001101011110001110,11100001101100101101,01101011111011100000,00111000100111001011,01001111000001011101,00011000111001111101,11001000010111110011,01110110011100010001,10000010110111011000,10010111001011101011,10101110110000101011,01100100101010111110,11011110101101000110,11111001011000011010,11110100010011001100,01010011110010000111,10011101100110110000,10100101111001010011,10101010001010010101
10010111000101110100,10011010111111000010,01001110100110011101,11111001000110100001,11001000011100110110,10100010001011010101,11000111001010101010,10101100100001111010,01111011011001011000,10100101111100001001,01100110010101100011,11110010110010101100,01101101111011100100,11100001100101001110,01010000101111111001,00111011101000100111,00001001010011101111,00110100001110011110,11011100001001001101,11010101110010010011
10111110110110001100,10001111001000011101,01010011110011011100,00011101101010110010,01110100001110110101,11001010100110110011,11010110001111001010,00100011101100101000,11111011101011000001,01101110011001110000,01101101100101000110,11110000111000010110,00000110111011100111,00110111010100010011,00101000011111011011,01111010000000101111,01011100111100001001,11100101010010101011,10110100100001111001,10011001010101100100
11001100101100010101,10100011111011010000,01101000011011001111,00000011101000111111,10000110001111100110,01001011010101110100,01100101100111111010,11011011100001001010,01010110110011101001,00111101111000100010,10101111010100001011,11101010000010110011,00011010111110011010,01110011100110000101,11010101010010011110,00111110000001011100,11110010011100101000,10011001001111111001,10110000110101110111,10101000110010101100
01100111000010100110,10010000010011101111,01011001101000110111,00110011110101111100,00101001011011010001,01111100110001001010,10111100001101100100,10101010111100001111,10110101100110010111,00000100111110111010,11110110011000111001,11000001001101011010,10001110100001110011,11011010010110010010,01110010101111100001,11001101110100100001,10011111101010001000,11101000100010111100,01001110000111011101,11000110111011010100
00101111010001110100,11110101110100010000,11111000001000100111,11100110011010001100,01010011000110100101,10011011011010010010,10100001110011000111,01011111101001000001,10100111101100101010,11001100010111100010,00011001111101101100,00101010110100001011,01000101011000111011,00110100011111100001,10011100100010111001,01110010100011111010,11000010111101110001,10010110000101011111,11101001001111011001,00001100101110010110
11100110000001011011,10001010111001001110,11000000111101100001,10100100101010100111,10010111011010101001,10110000010111111110,01001100001011111100,00011010100100111101,11011011000111000111,10101111011100110100,01110111110001100100,00100001111111011101,00111001001001110011,00010110101111010010,01001101110010110011,01100011101110101010,11010001101000011110,10111101100101001000,11111010111010010000,01111100011100001111
11010010101011101110,11110001010100101101,00110100111001110100,11000010011001011001,00011001011010111011,10101111011010001100,01111110000000111011,10000111100100110111,01011010010100010110,11110101010010010010,01001111110011100001,10011100100111011101,01010101101100001000,10001100010101101010,01100100001111000111,11101000101110110000,01101001100001011110,00100010110110001011,10111011101101000011,00110011000111111000
00000101011011111010,01100010111001101001,01011011101000011011,11111100111010010100,11000101100101111101,10110110100001011010,10110101001110001001,00101011100110111100,00110001101001100110,01011111000011100001,10001000100011001111,11000010101110100010,01100111110010000111,10001111111101000000,10101110001000110111,11101001010101010011,01101110001101001110,00010010011111010101,11010011010000101110,00011100110100101011
00011110010010011101,00100111010110100010,10010000100111100111,01111000011011110110,00011101001101000011,11000100011110001110,01101100100000101111,00001011101110111100,10101000110101011010,11011110000101101000,10110101111001101100,01000110111001110011,01010101100011011010,11100111000101010101,11001001010011101001,11011011110000000110,11111100111110110001,10101110101011000010,10110011001000111011,01110010111111001001
00111011010010100011,11110111100100000110,00100000110100111111,11000110010000011011,01011100110001101101,11001000111110100010,10001011100001110101,01100011111001000011,10111000001001011110,00000110101011101110,01101110001110010101,10101100100111001011,10110101111010010000,10101111011101101000,01010101001101110011,11100001001010101101,10010010011111000101,01110010100111111000,00011011101100001001,01001001010111011110
00110100010111110101,11111110001101000100,01010111101011010001,11110001001000110111,01011000100010001111,11001011110010110100,01000101100100101101,10100001101011101100,10110011110100011001,01100011000111011010,11010101111110000010,00111111100000100010,10001110001110111011,10011101010001011110,01100110111000011110,11010010010001101011,11101100100001010011,00001011111101000111,01101101011010001001,01011000111101111000
