01011101001000111,01101010100110111,00111001110101001,10110100101011101,00101111101011010,10111010001100100,01000111111101100,11011100100101010,11101110010001001,10010111000110001,01110100011110010,10100101110100110,11001001111010000,11110011010011110,10010010111000011,11100001001101011,10001000011111111
01100101010011011,10010110010101001,11100010000111110,00111111100110010,00110001001101101,10000101111110110,01001111001111100,01111000111111000,00011010011010111,10101100100011101,01010100101001110,01100110111000101,10101011111001010,11101100001100011,11111101010000100,11010011101010001,01001001110100111
11001101110100010,01011001110011100,01001100101011011,11101010011010110,01100111111000101,10110101011011010,10011011101000011,10000110110001111,11111110000001000,01110001000101111,00101011010111001,00110110100110110,00011100011100101,10101000101101100,11110000110110001,01010010111101010,11000111001111100
01011101001000111,01100010100110111,00111001110101001,10110100101011101,00101111101011010,10111010001100100,01000111111101100,11011100100101010,11101110010000001,10010111000110001,01110100011110010,10100101110100110,11001001111010000,11110011010011110,10010010111000011,11100001001101011,10001000011111111
10101011011110000,00010101011100011,10110101001011100,00101000111010111,10011100100111010,10100110010000110,11110000010111001,10100110101101001,11000101100110101,00011011110001101,01101100011101100,11011010001000111,00000010001111110,01110011100100110,01101111000011011,11000001111001010,01010110111010000
00011111000001110,01000011111101010,10101110011100011,11001101010011001,01110001000111011,01101100001011110,00110101111010010,01111001011100100,00101011101011001,11011110100110000,00001000110110111,01110110110001101,10100101100101100,10010010011111100,11010001101000111,11100011010010110,10111000110001010
11110100100100101,01001101100111000,10010110001111010,00001100010101111,10001100111010100,11100101011001010,01011111001000110,11000011010011101,10111001000011110,00110111110010011,10001001101100011,01111000011110001,00110011111101100,00101110101001001,11011010110001010,01100010100110110,01010000101011111
00001111111100100,11110010111001000,01000100111011111,11001011010111010,10101000010000110,11101001101010001,00011101001001010,10010101110100011,01110011100010110,00110001011111101,10100110001110010,01111100010100000,11011010001100111,00011110010010001,10011100100111100,11100111000001101,00101010100101011
01100101010011011,10010110110101001,11100010000111110,00111111100100011,10110001001101101,10000101110110110,00001111001111000,01111000111110000,00011010011010111,10101100100011101,01010100101001110,01100110111100101,10101011111001010,11001100001100011,11111111010000100,11010011101010001,01001001110101101
01011101001000111,01101010100110111,00111001110101001,10110100101011101,00101111001011010,10111010001100100,01000111111101100,11011100100101010,11101110010000001,10010111000110001,01110100011110010,10100101110100110,11001001111010000,11110011010011110,10010010111000011,11100001001101011,10001000011111111
11011010101001010,10001001100111110,11010011001110100,00011110010010110,11101101001000110,11000111110100011,00011101011101000,10110100000111011,00110111100001101,10011001111010001,00101011001110011,01111100100110000,10100110111011000,01000100101011111,01110001010011010,00110000111100110,11101010010101101
10111110010100101,00100100111110001,11010001100101001,10001011111100010,01110010001101010,11010101010110010,11101000100110110,01011100111001100,00100001110001111,00011001001110111,11000010011011101,01111011110010001,11101101001000011,00101111000111000,10011110100011011,10110111101010100,01000111100100111
00110100110010011,11011110110001010,10010001111011100,01100111111110000,10100111100001101,01011011100010111,00101011011011010,11110010001111001,10110011010100110,11101000100111110,00000010111101111,00011110000111100,11000101010111011,01110101001001110,10011101101100011,01111001110101001,11101100011000101
11110100100100101,01011101100111000,10010110001111010,00001100010101111,10001100111010100,11100101011001010,01011111001000110,11000011010011101,10111001000011110,00110111110010011,10001001101100011,01111000011110001,00110011111101100,00101110101001001,11011010110001010,01101010100110110,01010000101011111
10100101001110001,01110010000111111,01100000111011100,11011001100010101,01111101010100100,01101111100001011,00011100011011011,10110110110000101,11000111010010110,00001110101110100,01111010111010010,11001010011101001,00000001111100111,10111011001001110,00010011110111000,11010100101101010,10101000110111010
11111100101000100,01110001100111101,01011010111110001,10101011110101000,00110011011000100,01101110010011100,00100110101001011,10010000110011110,10000100011110101,11001010001101111,11000111110000111,00111100010100111,11110110000110010,11101001011010011,01010101011101010,00001111101110110,10011111000011001
10010111111000100,10101010011111000,10110100100011101,11001100110110110,01010110001101110,10000011100111011,10101101000100101,00111001110101010,11100001011001111,01100110110100001,00101010101010111,00010101011110011,10001110010001011,11111111000010010,11011000101100001,01001101101011000,01011011010011101
10101001011111000,01111000001010110,10110100011001101,01111011010001011,00011101101010001,10001110000011111,10011010111000010,01001000111001101,01010110011111000,00000011001100111,11101110001100001,11100011110010100,11100101101001010,00111110100101100,11010000100111001,11011101010100110,00100100110110011
10110011001111000,01110000001110111,00100101111011001,11011001100010101,01111101010101100,01101011100101011,00011110000011011,10110110110100001,11000111010110010,00001110101110100,01111010111010010,11001010011001101,00011001011100011,10101111001000110,00010011110001110,11010100101101010,10101000110111110
10100100110101110,10101000101010101,01001110010001101,00111110100100000,01101001110110011,11110000011100001,00011001011111100,01100101101001000,10011101000001011,11001010001111010,11010011100101101,00110010110011011,11011011111000110,10000111111110001,11110111000010100,01010100101110111,00100011001100111
10011110100101100,11101110001100010,01010111101001011,11110101010001110,10001101110100011,01001011111000100,11010100111010000,00110001101110110,01111000110101001,01010010010110111,01101100100011111,00011000011011010,00111100011000101,11000001001111101,10111011000010001,00100111010111000,10100010111001111
11100110100111000,11000111111000011,10110001010101010,10001001101110011,11111011001010100,00100111010110101,00011111101101000,01111100001100011,00110000111011101,10010110000011111,01010101100110110,10101100110000110,01011101010011001,11011010110100101,11000101001101101,01101011100001111,01001010011111110
11110100100100101,01001101100111000,10010110001111000,00011100010101111,10001100111010100,11100100011001010,01011111001000110,11000011010011101,10111001000011110,00110111110010011,10001011101100011,01111000011110001,00110001111101100,00101110101001101,11011010110001000,01100010110110110,01010000101011111
10101100111000111,11100101000011101,01010100011111100,00000011101011110,10010011011010001,11001010010110110,11110110110001010,00101111010111000,01001110001001011,10011100100111011,01111001001010010,10111010001101100,01100010101110001,01011001110001101,11100001011101011,11001111101100000,00110111000100111
11001000110110101,00100110111001101,01110001111010011,01101100001111011,01111010100101110,11101111000000101,10111100101000000,00111011011110100,10100101100110110,10001001011001110,11010110010011010,11000011101111000,01010101011100100,00011101100011101,10110001010101001,10010010001100111,00001111110100011
11011010101001010,10001001100111110,11010011001110100,00011110010010110,11101101001000110,01000111110100011,00011101011101000,10110100000100011,00110111100001101,10011001111010001,00101011001110011,01111100100110000,10100110111011000,01000100001011111,01110001010011010,00110000111100110,11101010010101101
00110100110010011,11011110110001010,10010001111011100,01100111101110000,10100111100001101,01011011000010111,00101011011011010,11110010001111001,10110011010100110,11101000100111110,01000010111101111,00011110010111100,11000101010111011,01110101001001110,10011101101100011,01111001110101001,11101100011000101
11100000101101101,00101010111011010,01110101110001001,11100111011000100,01000110000011111,10001101001011001,11111011000101010,00101111100100101,01111100001110000,11001011110110000,10110101100010110,00100001010110011,10111010010010101,10001100010101110,00010011011111100,10010110111100011,01011001111000111
00110111110001100,11111111000000011,10011000100011110,01001101000111101,10100001001101110,01000010011001111,10001110101100101,00010011100110011,10010101011010101,00100100101011011,11010110001111000,01111011101010100,00101110010110110,11100000110110001,10001011111011000,00111000011101001,01011101111100010
01100101010011011,10010110010101001,11100010000110110,00111111100100011,00110001001101101,10000101111110110,01001111001111100,01111000111111000,00011010011010111,10101100100011101,01010100100001110,01100110111000101,10101011111001010,11001100001100011,11111101010000100,11010011101010001,01001001110101101
10100010011110110,11011000110110000,11010111000010010,01111100001101010,11100100100000101,00111111100100100,00011010101010111,10101101101011000,01110011111001000,11001011001101101,01001110010011100,10111001010001111,01000001100111110,10000110110101011,01101011010110011,00010101011110101,01001101111000110
01011001100111011,10110101110011000,10000001011110111,10011110110110101,10001111101001011,11110010001010001,00111101000000111,01010011111000110,00110110011101011,11100100100100111,01101100011010010,11101011010100000,10101010000011110,00100111101110100,00101000111001101,01000111010011101,11011100001101100
11111100101000100,01110001100111101,01011010111110001,10101011110101000,10110011011000100,01101110010011100,00110110101001011,10011000110011110,10000100111111101,11001010001101111,11000111110000111,00111100010100111,11110110000110010,11101001011010011,01010101011101010,00001111101110110,10011111000011001
11111000110100011,10110110010001010,01100110100110110,00011101110101100,10000111011100101,01111011011000100,00110000001111111,11111101000010001,11001100011010110,11010010110011101,10011011101110010,11100001111111000,10101011100001111,01010101101001011,01001011010111011,11001110001101000,00101110111010001
