1010000111101100110,0110001010101011001,1011101001110001001,1100011001011101100,0011001000011110111,0111111101001000010,0010111001100111010,0001111010111000110,1010110000001001111,0010011111010010101,1000110100111110001,0001100111001111101,1111111010000110100,0110100011010100011,1100101100010011110,1001011110000101011,1101010001100010111,0111010100110101100,1011010011011011010
1100110001000011100,0010011011101011011,0000110111011100001,1000001100111001100,0111110000111000010,1011101001010110001,1101000011110001001,1010100110010011010,0001101101100101010,0110000000011101111,0011010110110111100,1111011010001101000,0101001111011010110,1100011100110110011,1011010101000000111,1001100010101110111,1110000101101110000,1010011011110100110,0110101110100000101
0011010100010111001,1101000101100101010,0111101100101010011,0110110110100001111,0010100011101111000,1111011011000011000,1001111110100110100,1110100101010010100,1000001101101011101,0010011101001100110,1001101110011001010,0100001000110111110,0100101111010100001,1010111001110000011,1100110000001111011,0001100011000010111,0100010111111010010,1111000010111100101,0101110001111001100
1000011011001001110,0100000111111011100,0011101001011110100,1100111010100110000,0001001010110011011,1000100001110101001,0110011001110000111,1111101111000001000,0000111111101000011,1111110000101001101,0110110010011101010,1010100110110010110,1010011100011011001,1101001100111100010,1001010110010100101,1110000011001110011,1101110001010010010,0100101100000111111,0011010101100111010
0001100100010110111,1100100011101010011,1000011010110111001,1100001101010001011,0111001100101111001,1011101111000100000,1010000101111110100,0110101010010011100,1111000010011101111,0010011110001010111,1001101100101001110,1011110001011011001,0011010111110011010,0110111000111100010,0001001011111000101,1111110100100000101,1101011001000110110,0010101001100101111,0100110111001101100
0110100010101101011,0111000110011011110,0100111000011110101,1100101001110011010,1001111100000001111,0010111111001011000,1101010011000111001,1010110010110010101,0000000101101010111,1001110100111101000,1010001001011101101,0000011011110101110,0111011101110000001,0001101111010110011,0011100001100111100,1011011000101110010,1110110101000100110,1100001110100111100,1101101011101000100
0011010100010111001,1101000101100101010,0111101100101010001,0110110110100001111,0010100011101111000,1111011011000011000,1001111110100110100,1110100101010010100,1000001101101011101,0011011101001100110,1001101110011001010,0100001000110111110,0100101111010100001,1010111001110000011,1100110000001110011,0001100011000010111,0100010111111010010,1111000010111100101,0101110001111001100
0110001010110111100,1000101011000011010,1011010111100010100,1010001111011100101,0111000011001001111,1001101100100101111,0110111100001010100,1100110001010100110,0110100101110010011,0000110111101101000,1101000101011111000,0011100010011110010,1111110010010001001,1101011110111000010,1010010000101111011,0011011101010101010,0000010110010011111,0101011011000110001,0001111001111011101
1101011010100011001,1010000010001101111,0010101100100011110,1011101011010000100,1111110110000110010,0011111000111100011,0011110001001011001,1010100110111010001,1000111111101101000,0000011110010110101,0001000011110111010,0111010110111001100,1110011101010001011,0101101111001000011,1001010101100000111,1111001101101110100,0110110011100100101,1101100100010101101,1100110001011010110
0000011101011111000,0101100101100111010,0000110110001100111,0011001110101011001,1010100101101010110,0001110001111001101,1100110111110010001,0101001111011000110,1001111001001010011,1011111111100100000,1111110100011001000,1001010010111110110,1001101100010110101,0010111010010011110,1010000011010101011,1100101011001111100,1100011100100001111,0110101000111100011,0111010001000110101
1010001111101100110,0100001010101011001,1011101001110001001,1100011001011101100,0011001000011110111,0111111101001000011,0010111001100111010,0001111010111000110,1010110010001001111,0010011111010010101,1000110100111110001,0001100111001111100,1111111010000110100,0100100011010100011,1100101100010011110,1001011110000101011,1101010001100010111,0111010100110101100,1111010011011011010
0000011110101010011,0110111001101100110,0010101001011011011,1001100010101011110,1011100100110100011,1110000101001010111,0101100111011110000,1011011011011000101,1000101101110010100,0010000011110111101,0111101110100001101,1100001110011101110,1110010000111011000,1100110011010001011,1000110100001111101,0001010101111001110,1101001001101101001,0101011000010110111,1011011111000111010
0011010100011111110,0001110101100010011,0000111110001011101,0110100111010000111,1010001100100001111,0111001111101010100,0101101000111001011,1000111101111100000,1011101010010110010,0101011111000101010,1100010110101110011,0000000011110111101,1101110110110001100,0111111000100100101,1100100001001111110,1110011001010011001,1001011011011000111,1011100111001101001,0010110011101001010
1010011011000011011,1011110000011000110,1110101110111001000,1100110011001100101,0000111001110101111,1101101001010110010,1000011100101110010,0011100000101111001,0111011001111000001,0110001110011110111,1110010000110111100,1011001101000101100,1110100101100000111,1001001010110010101,1101010110010101011,1000000101011011001,0101000011101011110,0101111100000011101,0011110111110110000
0100110001000011100,0010011011101011011,0000110111011100001,1000111100111001100,0111110000111000010,1011101001010010001,1101000011110001001,1010100110010011010,0001101101100101010,0110000001011101111,0011010100110111101,1111011010001101000,0101001111011010110,1100011100010110011,1011010101000000111,1001100010101110111,1110000101101110000,1010011011110100110,0110101110100000101
1000101011011011010,0100110001001101111,1110111101100001000,0101101001111010001,1000011101111100011,1011101001010100110,1000100111100110101,0100110010110100010,1101001110000101011,1110000000110011111,0010101010111101101,0011100100101111010,1110011010001110100,1011110010101000011,0110000111011000110,0011010011010111001,0010111100010010111,1001110100011001100,0001011011100011110
0010001111111011100,1110011101001100000,1000111010110100100,0111010001010111110,1110000000101111101,0100111101100001111,1110100110010000110,1101101001111010010,0111001010110100011,1101011011010001101,0100110110011110001,1001001110000111010,1010111000011001011,0111110010101001000,0001100011001100111,1001010100111000111,1010010011100010011,0011111100000010101,1011100101110101001
0101111010111101100,0101011101010110101,1011110110110000001,0110101001110011000,1110011100100101010,0010001111011101001,1111110001001001001,0010111000101110111,1101001010111010011,0100100100110001111,0110010011010000110,1000111101011000010,1110100100011110100,1000010111101011100,1100101011100100101,1011101110000011110,0101100111101110010,1000110010010111011,1011000001110101110
1001010010111110100,0111000100011010111,1010101000111001110,1111110110010001000,0000110101011011101,1010011111101010010,0001111110100000111,0011001111110111000,1011010001000101111,1001101001011000001,0110111000110110001,0100010011111001011,0110100011001100100,0101111000001111010,1100001010000011101,1000100110010110011,1101100001100010110,1100000100101101001,1100011101010100110
0101111000100101111,1110111010010001001,1010100010100011110,0110110100101010011,0000011010111111000,1101001100001011101,1100111101110010100,0010011101011001110,0010101101000111001,0011001001110010011,1001101110001100010,1110001011101100101,1000100001111101011,0001110011001010101,0111100111110001000,1011010100110100101,0100000110010110111,0111100000011110100,1111010001000111010
0000100011100011111,1111100001011000011,0101001111001101010,1110011011100000110,1010101010010111000,1001010101110011010,0011001001100110011,1011010010001011101,0001111001111101100,0110011101010011101,0101110010010110110,1000001100010100111,1101101100101010100,0011000111110100100,1111110100100101001,0010111110111000011,1010110101001110110,0110000000111111110,1100010011111110001
