111110001011100100011,001101100011001001110,011000011110110001010,111011000111011000000,001001011101010110111,001100101100101110000,011010100001110011101,000111011001111001001,111101010100100101101,101101110010110010011,011110110000011100010,100100010011111110100,010111111110000010100,110100001000011011111,110000110101101000111,101110010101000011010,100011101100110101110,010011000110101111011,101010111010001101101,110001111001000111000,000100100111010101001
000111100011111010010,011110000111011001011,001100011011110111000,010100111011001010101,000101010100110011101,011011111000010110011,100011011110011000100,110111110101000101000,001011101001101001101,011100100100111100100,101110110010100000111,110000101110110011001,000000011101101100011,100110001000011111111,110001000011110100111,101001000110001110001,010010010010101111110,111110001101100010110,101000110101011011110,000101101110000101110,111101011000101001010
001100011011110111000,011110000111011001011,000111100011111010010,010100111011001010101,000101010100110011101,011011111000010110011,100011011110011000100,110111110101000101000,001011101001101001101,011100100100111100100,101110110010100000111,110000101110110011001,000000011101101100011,100110001000011111111,110001000011110100111,101001000110001110001,010010010010101111110,111110001101100010110,101000110101011011110,000101101110000101110,111101011000101001010
101001111001001010101,010010011101110011101,010101100100011001111,000111110111111000000,011000100011111111001,101110110000110011100,110111010010101011011,101011000011110100111,001101001101100001010,110101011011010101000,000100011010111110110,110001110100100110010,011011101010010010010,000111101110000111101,100010000101011111010,011011010110001101100,111100000111000010100,110010101011101001110,101000111110010001011,011110110001000100011,111110001100111100001
110101101010110011000,101100111100001001011,101011110110110000110,110110010110000111110,001011110010000111001,010000011010111101101,011110001011010001111,000101000111101010111,011001101000001110110,100111011011001100010,110010111001100010011,101110000000111110011,011110101111101100000,110011100101011101011,111000010011011010000,010111011100010010001,001000011101110111010,101011001101101011100,100000101111010110101,000110110001011011100,111101010001100100101
001001100011110110011,011111110101011100000,000110001101111001011,111000011110110000010,001000011001101111100,011011011010011001111,011110110000100011111,100111010000010111010,010000111100011111001,100011010101010010101,110010101011110101100,101010100111001011010,010101000110111011100,111101001001000011001,000101111111000001110,101001100100101101101,001110001110000110101,101100101000011010110,010011001100101110110,100111111010101010001,110100010011001100111
001111101001110010001,100100101010001110111,110011011011000100001,000010001110110001111,101100110011100101011,011100011110010111001,001010010011011110110,010101001001111101110,110110100011010011100,000000111101100110100,101010101101011101010,111001110000010000111,000111110100011101101,011110111110101000100,101111011100000011110,010011100110100110010,010010111001001011011,111010000000101111101,110100010101111010011,100001111010111011000,001001000111001011101
011101001010100001101,110010001000101110100,110101010100111001010,101000100111101001100,001111000011111110010,101100111001100010011,101001011110010111000,011000100000011111111,011110111101010010100,100101110010011010101,010001101101111100001,111011010001001100101,010010010011110011001,001010011110111000111,101110100000110101001,000111110100100111111,100011101001010001110,010110111010001101010,100110001101001011001,110100000111010100111,111011100110000010011
101001111001001010101,010010011101110011101,010101100100011001111,000111110111111000000,011000100011111111001,101110110000110011100,110111010010001011011,101011000011110100111,001101001101101011010,110101011001010101000,000100011010011110110,110001110100100110010,011011101010010010010,000111101110000111101,100010100101011111010,011011010110001101100,111100000111000010100,110010101011101001110,101000111110010001011,011110110001000100011,111110001100111100001
111000100010111101001,010011011010110010111,110010111001000101110,011011001101111100010,100000101101110010011,111100010100100110010,100111110100101000101,001100011011001100111,011101111001101011000,000101111110010101000,010101100111100001111,010110100001010110101,100101000000111111110,101011100011000110010,001010110100011011110,101110001111110001100,101111010001010001011,101001001100000111101,110001010111011010100,110110001110001011011,000010010111101111001
111101010010011001100,101001000101111100010,100011111100100001111,001101001111100011101,111000011000110010011,010010001110011100110,100001011011000111010,001110110010100110110,001010111101011011000,010111011001101100001,100110101010110101001,111110000111000001011,000101100010011010011,110011100011110010100,100100010101010110101,110100101001101011110,010000110110101111001,111101101100000110000,011001100001010101111,010111000100110111010,101011000000001111101
111110001011100100011,001101100011101001110,011000011110110001010,111011001111011000000,001001011101010110111,001100101100101110000,011010100001110011101,000111011001111001001,111101010100100101101,101001110010110010011,011111110000011100010,100110010011111110100,010111111110000010101,110100001000011011111,110000110101101000111,101110010101000011010,100011101100110101110,010011000110101111011,101010111010001101101,110001111001000111000,000100100111010101001
101100110000001100111,000010011110101100011,110011111000000110110,111010001001111000101,010101101101101000010,101001001101000011111,110100010111110010111,010001100110011110101,000110101010011011110,011111000011010100011,010100011101010101101,001001111010110000100,100111100100110001001,111010110111001001000,100101000011101101100,001110100101100110100,101101011100011110000,111100101010100111001,011111010000101011101,111000000100110101110,000000110001111111011
